Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Debt service on external debt, total (Billion US$)",10.77710745,14.44151664,17.05231878,19.23210306,21.04784206,24.32928174,23.85266284,30.66678054,37.25758942,30.50125752,46.03898878,65.32369064,60.15834903
"Total debt service (% of exports of goods, services and primary income)",0.04819426829,0.063057674,0.06946746417,0.0791752331,0.1058715681,0.1242410974,0.1078855899,0.1218264631,0.1481086833,0.1386629872,0.1744695052,,
